NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKM92,S30000016,Dumfries and Galloway,,Yes,149200,6676051800,3,No,,,,,,,,,,,
UKM93,S30000017,East Ayrshire,,No,121940,1270334200,2,No,,,,,,,,,,,
UKM93,S30000018,North Ayrshire mainland,,No,129902,450031100,2,No,,,,,,,,,,,
UKM82,S30000019,Glasgow City,,No,621020,176432500,1,No,,,UK004C1,No,Glasgow City,UK004K1,No,Greater Glasgow,UK004L1,No,Glasgow
UKM83,S30000020,East Renfrewshire,,No,94760,173791900,2,Yes,,,,,,UK004K1,No,Greater Glasgow,UK004L1,No,Glasgow
UKM83,S30000021,Renfrewshire,,No,176830,269672600,1,No,,,UK585C1,No,Renfrewshire (Paisley),UK004K1,No,Greater Glasgow,UK004L1,No,Glasgow
UKM83,S30000022,Inverclyde,,No,78760,173564400,1,No,,,UK584C1,No,Inverclyde (Greenock),,,,UK004L1,No,Glasgow
UKM84,S30000023,North Lanarkshire,,No,339960,472126100,1,No,,,UK502C1,No,North Lanarkshire (Airdrie/Bellshill/Coatbridge/Motherwell),,,,UK004L1,No,Glasgow
UKM94,S30000024,South Ayrshire,,No,112680,1234722100,2,No,,,,,,,,,,,
UKM95,S30000025,South Lanarkshire,,No,318170,1774051800,2,No,,,,,,,,,UK004L1,No,Glasgow
UKM50,S30000026,Aberdeen City,,No,228800,205610300,1,No,,,UK016C1,No,Aberdeen City,,,,UK016L1,No,Aberdeen
UKM50,S30000027,Aberdeenshire,,No,261800,6338817000,3,No,,,,,,,,,UK016L1,No,Aberdeen
UKM61,S30000028,Ross and Cromarty,,Yes,55114,5299661500,3,No,,,,,,,,,,,
UKM61,S30000029,Caithness and Sutherland,,Yes,38520,7940398800,3,No,,,,,,,,,,,
UKM62,S30000030,Inverness and Nairn,,Yes,94671,3356414500,2,No,,,,,,,,,,,
UKM62,S30000031,Badenoch and Strathspey,,Yes,13838,2369813200,3,No,,,,,,,,,,,
UKM62,S30000032,West Moray,,No,24200,1427752000,3,No,,,,,,,,,,,
UKM62,S30000033,North East Moray,,No,71580,829321400,2,No,,,,,,,,,,,
UKM63,S30000034,Arran and Cumbrae,,Yes,5888,453883600,3,No,,,,,,,,,,,
UKM63,S30000035,Argyll and Bute Islands,,Yes,7173,2211523700,3,No,,,,,,,,,,,
UKM63,S30000036,Argyll and Bute Mainland,,Yes,53473,4557396900,3,No,,,,,,,,,,,
UKM63,S30000037,Lochaber,,No,19894,4719222800,3,No,,,,,,,,,,,
UKM63,S30000038,Skye and Lochalsh,,Yes,13143,2798846200,3,No,,,,,,,,,,,
UKM64,S30000039,Na h-Eileanan Siar (Western Isles),,Yes,26950,3268544000,3,No,,,,,,,,,,,
UKM65,S30000040,Orkney Islands,,No,22000,1086210200,3,No,,,,,,,,,,,
UKM66,S30000041,Shetland Islands,,No,23080,1656589900,3,No,,,,,,,,,,,
UKL11,W06000001,Isle of Anglesey,,No,69794,749022700,3,No,,,,,,,,,,,
UKL12,W06000002,Gwynedd,,No,123742,2622378700,3,No,,,,,,,,,,,
UKL13,W06000003,Conwy,,No,116863,1153483500,2,No,,,,,,,,,,,
UKL13,W06000004,Denbighshire,,No,95159,846380100,2,No,,,,,,,,,,,
UKL23,W06000005,Flintshire,,No,155155,489439300,2,No,,,,,,,,,UK568L1,No,Cheshire West and Chester
